"Hometown","Gender","GPA","Total.Degree","In.Degree","Out.Degree","Betweenness","Closeness","Component.Membership"
1,1,2.59,5,2,3,8.66666666666667,0,1
1,1,2,0,0,0,0,0,2
1,1,2.62,1,0,1,0,0,3
2,0,1.5,2,1,1,0,0,4
1,0,2.59,3,2,1,0,0,5
1,0,3.94,9,3,6,16.5,0,6
1,1,2.36,6,3,3,2.5,0,1
3,0,3.62,4,2,2,0,0,6
4,0,3.68,7,2,5,7.66666666666667,0,6
5,1,2,0,0,0,0,0,7
1,1,1.02,5,4,1,5,0,4
1,1,1.68,0,0,0,0,0,8
1,0,0.74,4,3,1,2.66666666666667,0,1
1,0,2.18,4,2,2,0,0,1
1,0,1.28,3,2,1,3.16666666666667,0,1
1,0,1.82,9,5,4,19.8333333333333,0,1
